Fecha,Idioma,Frase,Sentimiento,Positivo,Negativo,Neutral,Mixto
2024-11-13 00:02:32,pt,"Bom dia Rogério Você ligou para o BS , banco Operadora ? Helena Como posso ajudar ? Bom dia ? Helena , eu quero bloquear o meu cartão de crédito .",NEUTRAL,0.0020202097948640585,0.0021616744343191385,0.9958013892173767,1.6709846022422425e-05
2024-11-13 00:02:32,pt,Rogério Você possui alguns cartões no nosso banco ? Qual dos cartões você deseja bloquear ? Pode dizer os últimos quatro dígitos visa Classic dígitos ? Eu não me lembro .,NEUTRAL,6.274627958191559e-05,0.0018279149662703276,0.9980996251106262,9.79699871095363e-06
2024-11-13 00:02:32,pt,Ele é o meu principal .,NEUTRAL,0.10318050533533096,0.00016137254715431482,0.8966519236564636,6.1927530623506755e-06
2024-11-13 00:02:32,pt,Ainda ontem saquei o dinheiro dele .,NEUTRAL,0.009184221737086773,0.3320291042327881,0.6587820649147034,4.559758053801488e-06
2024-11-13 00:02:32,pt,Diga por favor o motivo do bloqueio Eu perdi o meu cartão e por isso quero cancelar e onde perdeu seu cartão .,NEGATIVE,0.00037587687256745994,0.9761669635772705,0.023456323891878128,8.478835979985888e-07
2024-11-13 00:02:32,pt,Acho que esqueci o cartão no caixa eletrônico depois de sacar dinheiro .,NEUTRAL,0.004960857331752777,0.33912748098373413,0.6558966636657715,1.4983776964072604e-05
2024-11-13 00:02:32,pt,Mas eu não tenho certeza onde se encontra esse caixa eletrônico no Shopping Center três .,NEUTRAL,0.0007531068404205143,0.011250614188611507,0.9879833459854126,1.2905597031931393e-05
2024-11-13 00:02:32,pt,Fica na Avenida Paulista .,NEUTRAL,0.00039750756695866585,0.0001479967322666198,0.9994507431983948,3.6663091123045888e-06
2024-11-13 00:02:32,pt,Está tudo bem .,POSITIVE,0.964259922504425,0.0002760344941634685,0.034893207252025604,0.0005708914250135422
2024-11-13 00:02:32,pt,Rogério Seu cartão foi bloqueado com sucesso .,POSITIVE,0.5002604126930237,0.3353120982646942,0.16440419852733612,2.3316619262914173e-05
2024-11-13 00:02:32,pt,Dirija se a qualquer agência do nosso banco e faça seu pedido para solicitar a segunda via do cartão .,NEUTRAL,9.594770381227136e-05,0.0009280212689191103,0.9989742040634155,1.9230274119763635e-06
2024-11-13 00:02:32,pt,Quanto tempo demora a ser emitido um novo cartão ? Três dias ? Tanto tempo .,NEUTRAL,0.0006947176880203187,0.1916503608226776,0.807640552520752,1.438868093828205e-05
2024-11-13 00:02:32,pt,Meu dinheiro todo estava nesse cartão .,NEUTRAL,0.051459379494190216,0.12810532748699188,0.820426881313324,8.374834578717127e-06
2024-11-13 00:02:32,pt,Você pode sacar dinheiro em qualquer agência do nosso banco com seu documento de identificação .,NEUTRAL,0.015822552144527435,0.0004801210016012192,0.9836962819099426,1.0801160215123673e-06
2024-11-13 00:02:32,pt,Obrigado .,POSITIVE,0.9992082715034485,0.0001702111039776355,0.0006010537035763264,2.052461240964476e-05
2024-11-13 00:02:32,pt,Helena .,NEUTRAL,0.0007239971891976893,0.00011823906970676035,0.9991400241851807,1.7787073375075124e-05
2024-11-13 00:02:32,pt,"Ajudou muito adeus , você tem mais alguma pergunta , alô ? Rogério , você tem mais alguma pergunta ? Você está na linha Alô Sim , estou aqui , Rogério , você tem mais alguma pergunta sim , eu quero recarregar o celular .",POSITIVE,0.7060499787330627,0.001492974697612226,0.292354017496109,0.0001030616185744293
2024-11-13 00:02:32,pt,Você quer fazer uma recarga no celular do qual você está ligando ? Não quero recarregar o telefone de meu amigo .,NEGATIVE,0.0021798002999275923,0.8348303437232971,0.16298797726631165,1.898120444820961e-06
2024-11-13 00:02:32,pt,"Diga , por favor o número mais quinze e cinto nove mil cem dezoito e um dois e três , dezanove e três Desculpe a sua operação foi cancelada .",NEUTRAL,0.0003537119773682207,0.14519858360290527,0.8544420003890991,5.727308689529309e-06
2024-11-13 00:02:32,pt,Se dirija à agência do banco mais próxima .,NEUTRAL,0.0002559963904786855,0.00016020775365177542,0.9995798468589783,3.97787925976445e-06
